<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	09:00:00	145.134	145.228	144.959	145.193	5026	0	13
2015.01.02	10:00:00	145.193	145.312	144.985	144.986	6317	0	13
2015.01.02	11:00:00	144.986	145.192	144.893	145.183	6231	0	13
2015.01.02	12:00:00	145.182	145.192	145.009	145.128	4280	0	13
2015.01.02	13:00:00	145.127	145.236	145.118	145.221	4438	0	13
2015.01.02	14:00:00	145.221	145.288	145.163	145.205	4582	0	13
2015.01.02	15:00:00	145.205	145.227	145.061	145.093	5050	0	13
2015.01.02	16:00:00	145.089	145.204	144.979	144.997	6061	0	13
2015.01.02	17:00:00	144.994	145.027	144.347	144.606	8329	0	13
2015.01.02	18:00:00	144.604	144.611	144.126	144.410	6795	0	13
2015.01.02	19:00:00	144.409	144.527	144.356	144.393	4744	0	13
2015.01.02	20:00:00	144.393	144.537	144.373	144.510	3990	0	13
2015.01.02	21:00:00	144.508	144.550	144.455	144.469	3198	0	19
2015.01.02	22:00:00	144.470	144.621	144.421	144.601	3428	0	18
2015.01.02	23:00:00	144.603	144.637	144.543	144.597	2253	0	18
2015.01.05	00:00:00	143.967	144.109	143.136	143.980	6288	0	20
2015.01.05	01:00:00	143.982	144.017	143.678	143.828	5593	0	20
2015.01.05	02:00:00	143.829	144.029	143.642	143.861	6892	0	18
2015.01.05	03:00:00	143.859	143.938	143.755	143.928	5359	0	18
2015.01.05	04:00:00	143.927	143.953	143.807	143.868	3778	0	18
2015.01.05	05:00:00	143.866	144.054	143.807	144.034	4416	0	19
2015.01.05	06:00:00	144.033	144.055	143.850	143.935	3671	0	18
2015.01.05	07:00:00	143.933	144.000	143.606	143.692	4427	0	13
2015.01.05	08:00:00	143.693	143.853	143.637	143.821	4631	0	13
2015.01.05	09:00:00	143.822	144.044	143.760	143.916	5995	0	13
2015.01.05	10:00:00	143.915	144.152	143.875	143.881	7561	0	13
2015.01.05	11:00:00	143.882	143.888	143.631	143.703	6982	0	13
2015.01.05	12:00:00	143.702	143.702	143.403	143.469	6977	0	13
2015.01.05	13:00:00	143.468	143.529	143.107	143.182	6637	0	13
2015.01.05	14:00:00	143.184	143.206	142.895	142.977	6910	0	13
2015.01.05	15:00:00	142.978	143.014	142.727	142.739	7943	0	13
