<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.01.02	00:00:00	2063.00	2073.00	2044.70	2053.00	9258	0	0
2015.01.05	00:00:00	2053.10	2054.00	2016.00	2024.50	11893	0	0
2015.01.06	00:00:00	2024.70	2030.20	1991.50	2001.70	14371	0	0
2015.01.07	00:00:00	2001.10	2030.00	2000.90	2027.00	11994	0	0
2015.01.08	00:00:00	2027.20	2064.80	2026.70	2059.80	9008	0	0
2015.01.09	00:00:00	2060.30	2068.30	2037.70	2041.20	11503	0	0
2015.01.12	00:00:00	2041.90	2054.50	2021.70	2030.30	10496	0	0
2015.01.13	00:00:00	2030.50	2058.30	2007.00	2024.50	12658	0	0
2015.01.14	00:00:00	2024.70	2025.50	1987.70	2016.70	19768	0	0
2015.01.15	00:00:00	2017.00	2033.50	1989.50	1989.50	24501	0	0
2015.01.16	00:00:00	1986.50	2020.50	1976.20	2019.20	16407	0	0
2015.01.19	00:00:00	2020.00	2030.00	2009.50	2015.00	6270	0	0
2015.01.20	00:00:00	2015.50	2032.50	2004.00	2021.70	11634	0	0
2015.01.21	00:00:00	2022.00	2038.80	2011.50	2032.70	12429	0	0
2015.01.22	00:00:00	2033.00	2064.80	2025.20	2063.50	13580	0	0
2015.01.23	00:00:00	2063.30	2068.30	2048.90	2049.40	10556	0	0
2015.01.26	00:00:00	2040.90	2061.00	2031.70	2060.50	9682	0	0
2015.01.27	00:00:00	2060.70	2060.70	2019.40	2043.70	11561	0	0
2015.01.28	00:00:00	2042.80	2052.30	1997.30	1999.80	15263	0	0
2015.01.29	00:00:00	2000.30	2026.20	1988.50	2025.50	15350	0	0
2015.01.30	00:00:00	2025.20	2026.70	1993.00	1995.80	16089	0	0
2015.02.02	00:00:00	1998.00	2025.00	1980.50	2022.00	16976	0	0
2015.02.03	00:00:00	2022.30	2050.00	2013.80	2047.50	13044	0	0
2015.02.04	00:00:00	2046.20	2054.80	2028.50	2030.50	13361	0	0
2015.02.05	00:00:00	2030.10	2063.70	2025.90	2061.70	11503	0	0
2015.02.06	00:00:00	2061.30	2072.60	2049.30	2059.60	11047	0	0
2015.02.09	00:00:00	2052.00	2056.30	2041.30	2047.50	11076	0	0
2015.02.10	00:00:00	2047.80	2071.00	2045.30	2067.50	9946	0	0
2015.02.11	00:00:00	2066.80	2083.40	2057.40	2078.10	9509	0	0
2015.02.12	00:00:00	2078.90	2089.10	2062.60	2086.60	9651	0	0
2015.02.13	00:00:00	2086.30	2098.10	2085.30	2097.60	6209	0	0
2015.02.16	00:00:00	2097.90	2097.90	2087.10	2090.10	1919	0	0
2015.02.17	00:00:00	2085.10	2101.60	2083.90	2100.60	6233	0	0
2015.02.18	00:00:00	2100.10	2101.40	2091.70	2098.50	5278	0	0
2015.02.19	00:00:00	2098.30	2102.40	2090.70	2099.20	5470	0	0
2015.02.20	00:00:00	2098.70	2111.40	2085.20	2110.40	7564	0	0
2015.02.23	00:00:00	2110.20	2110.80	2102.70	2109.60	4541	0	0
2015.02.24	00:00:00	2109.30	2118.30	2105.60	2116.60	4553	0	0
2015.02.25	00:00:00	2116.10	2119.80	2109.60	2113.10	3863	0	0
2015.02.26	00:00:00	2112.80	2117.10	2103.50	2111.80	4383	0	0
2015.02.27	00:00:00	2112.00	2112.80	2103.50	2107.00	4382	0	0
2015.03.02	00:00:00	2107.30	2117.30	2102.40	2116.30	3379	0	0
2015.03.03	00:00:00	2116.50	2116.50	2097.50	2106.80	4351	0	0
2015.03.04	00:00:00	2106.50	2106.50	2087.00	2097.70	5484	0	0
2015.03.05	00:00:00	2097.80	2105.00	2095.00	2101.20	4695	0	0
2015.03.06	00:00:00	2101.00	2104.50	2067.00	2072.80	7237	0	0
2015.03.09	00:00:00	2073.00	2083.60	2067.30	2079.00	4841	0	0
2015.03.10	00:00:00	2078.70	2079.00	2042.40	2044.70	7624	0	0
2015.03.11	00:00:00	2044.90	2053.00	2039.20	2042.70	6831	0	0
2015.03.12	00:00:00	2043.00	2066.60	2038.70	2065.60	5648	0	0
2015.03.13	00:00:00	2065.40	2068.80	2040.30	2052.10	8732	0	0
2015.03.16	00:00:00	2051.60	2081.50	2044.80	2075.70	8509	0	0
2015.03.17	00:00:00	2075.50	2078.80	2063.70	2074.30	6314	0	0
2015.03.18	00:00:00	2074.50	2108.00	2060.80	2101.30	9162	0	0
2015.03.19	00:00:00	2101.00	2107.50	2085.00	2088.80	7118	0	0
2015.03.20	00:00:00	2088.50	2114.50	2086.30	2106.80	4927	0	0
2015.03.23	00:00:00	2106.00	2115.00	2101.30	2103.00	4800	0	0
2015.03.24	00:00:00	2102.50	2108.80	2090.80	2092.80	5907	0	0
2015.03.25	00:00:00	2092.70	2097.10	2060.30	2063.00	7589	0	0
2015.03.26	00:00:00	2063.30	2067.30	2041.20	2058.30	10564	0	0
2015.03.27	00:00:00	2058.10	2065.80	2049.30	2060.30	8392	0	0
2015.03.30	00:00:00	2061.30	2089.50	2056.00	2082.30	6121	0	0
2015.03.31	00:00:00	2082.10	2084.30	2064.30	2066.50	6888	0	0
2015.04.01	00:00:00	2066.10	2068.30	2042.00	2062.00	11946	0	0
2015.04.02	00:00:00	2061.80	2072.50	2052.00	2068.50	6925	0	0
2015.04.03	00:00:00	2068.00	2071.50	2046.00	2047.70	1755	0	0
2015.04.06	00:00:00	2048.70	2087.80	2046.70	2080.30	4678	0	0
2015.04.07	00:00:00	2079.80	2090.50	2074.00	2076.00	5333	0	0
2015.04.08	00:00:00	2076.30	2087.50	2072.00	2083.50	7463	0	0
2015.04.09	00:00:00	2083.80	2094.00	2074.30	2092.30	6316	0	0
2015.04.10	00:00:00	2092.80	2102.80	2090.50	2102.50	4052	0	0
2015.04.13	00:00:00	2102.00	2107.80	2092.10	2093.30	4856	0	0
2015.04.14	00:00:00	2093.80	2099.30	2082.60	2097.80	6122	0	0
2015.04.15	00:00:00	2098.00	2112.10	2094.30	2107.60	5228	0	0
2015.04.16	00:00:00	2107.80	2111.30	2096.10	2107.30	4961	0	0
2015.04.17	00:00:00	2107.10	2108.30	2071.80	2083.30	8510	0	0
2015.04.20	00:00:00	2088.40	2104.80	2086.00	2097.30	5181	0	0
2015.04.21	00:00:00	2096.60	2111.80	2094.00	2098.00	6182	0	0
2015.04.22	00:00:00	2097.80	2110.00	2086.80	2105.80	7517	0	0
2015.04.23	00:00:00	2105.50	2120.60	2093.80	2113.60	7155	0	0
2015.04.24	00:00:00	2114.30	2121.00	2109.30	2118.80	6818	0	0
2015.04.27	00:00:00	2119.30	2126.00	2106.80	2109.80	4914	0	0
2015.04.28	00:00:00	2110.30	2118.60	2094.40	2118.10	7357	0	0
2015.04.29	00:00:00	2118.00	2118.70	2096.50	2104.30	10826	0	0
2015.04.30	00:00:00	2104.00	2107.80	2076.60	2088.60	12040	0	0
2015.05.01	00:00:00	2089.60	2108.70	2086.80	2107.90	4610	0	0
2015.05.04	00:00:00	2108.30	2121.20	2104.40	2115.70	5672	0	0
2015.05.05	00:00:00	2115.60	2117.80	2087.80	2091.60	9622	0	0
2015.05.06	00:00:00	2091.00	2099.20	2066.80	2080.50	10081	0	0
2015.05.07	00:00:00	2080.10	2093.20	2062.30	2089.00	10907	0	0
2015.05.08	00:00:00	2088.70	2118.00	2088.70	2113.00	6813	0	0
2015.05.11	00:00:00	2114.70	2117.70	2100.30	2101.30	5598	0	0
2015.05.12	00:00:00	2101.50	2105.30	2083.80	2100.20	9784	0	0
2015.05.13	00:00:00	2100.10	2110.60	2095.70	2100.50	7656	0	0
2015.05.14	00:00:00	2100.30	2121.80	2096.00	2121.30	5087	0	0
2015.05.15	00:00:00	2121.10	2126.10	2116.60	2123.60	5420	0	0
2015.05.18	00:00:00	2123.00	2132.00	2115.80	2130.00	4951	0	0
2015.05.19	00:00:00	2129.60	2136.90	2124.50	2127.20	4609	0	0
2015.05.20	00:00:00	2127.00	2133.00	2122.30	2124.50	5271	0	0
2015.05.21	00:00:00	2124.00	2134.30	2117.70	2131.30	4199	0	0
2015.05.22	00:00:00	2131.60	2133.60	2125.60	2127.30	3736	0	0
2015.05.25	00:00:00	2127.10	2129.60	2121.30	2125.10	796	0	0
2015.05.26	00:00:00	2125.40	2127.10	2098.60	2107.90	5824	0	0
2015.05.27	00:00:00	2108.10	2126.40	2103.60	2122.20	5111	0	0
2015.05.28	00:00:00	2121.90	2124.60	2112.60	2124.40	6043	0	0
2015.05.29	00:00:00	2124.10	2124.60	2104.40	2109.50	6631	0	0
2015.06.01	00:00:00	2108.80	2119.40	2102.30	2112.70	7356	0	0
2015.06.02	00:00:00	2112.40	2117.70	2096.40	2108.70	8986	0	0
2015.06.03	00:00:00	2108.50	2122.20	2108.20	2117.30	8035	0	0
2015.06.04	00:00:00	2117.50	2117.80	2092.90	2100.40	10925	0	0
2015.06.05	00:00:00	2100.60	2104.10	2085.10	2093.70	9847	0	0
2015.06.08	00:00:00	2092.90	2094.90	2077.70	2081.20	8173	0	0
2015.06.09	00:00:00	2080.90	2085.80	2070.20	2082.10	8752	0	0
2015.06.10	00:00:00	2081.80	2108.80	2081.30	2107.60	7129	0	0
2015.06.11	00:00:00	2107.80	2115.40	2104.20	2110.30	6831	0	0
2015.06.12	00:00:00	2110.50	2110.80	2091.00	2094.00	7443	0	0
2015.06.15	00:00:00	2084.50	2090.20	2072.20	2084.50	9138	0	0
2015.06.16	00:00:00	2084.00	2098.80	2071.00	2098.30	7448	0	0
2015.06.17	00:00:00	2098.40	2107.50	2088.10	2097.00	8063	0	0
2015.06.18	00:00:00	2097.10	2126.80	2091.10	2122.30	8537	0	0
2015.06.19	00:00:00	2122.50	2125.50	2105.30	2108.00	5825	0	0
2015.06.22	00:00:00	2113.30	2130.20	2111.50	2123.20	7033	0	0
2015.06.23	00:00:00	2123.00	2128.50	2119.50	2125.00	5122	0	0
2015.06.24	00:00:00	2125.50	2126.50	2107.10	2108.60	7161	0	0
2015.06.25	00:00:00	2108.70	2120.60	2100.60	2102.10	7144	0	0
2015.06.26	00:00:00	2102.30	2108.80	2094.80	2104.50	7069	0	0
2015.06.29	00:00:00	2072.10	2091.20	2055.70	2061.30	13474	0	0
2015.06.30	00:00:00	2061.50	2076.80	2055.20	2065.80	12062	0	0
2015.07.01	00:00:00	2064.50	2086.00	2062.60	2080.00	8970	0	0
2015.07.02	00:00:00	2079.80	2087.30	2070.60	2077.10	5805	0	0
2015.07.03	00:00:00	2077.30	2080.10	2071.60	2074.20	3243	0	0
